Domain,Instance,T_star,Best_Planner,Source_Stage
barman,instance-01.pddl,1.708008,lama,Feedback_Loop1 (GPT-5.4)
barman,instance-02.pddl,1.805261,lama,Feedback_Loop2 (Gemini 3.1 Pro)
barman,instance-03.pddl,1.97431,lama,Feedback_Loop1 (Gemini 3.1 Pro)
barman,instance-04.pddl,15.055427,lama,Feedback_Loop1 (GPT-5.4)
barman,instance-07.pddl,2.116275,lama,Feedback_Loop2 (DeepSeek-R1)
barman,instance-08.pddl,3.329221,lama,Feedback_Loop2 (DeepSeek-R1)
barman,instance-09.pddl,3.170364,lama,Feedback_Loop3 (DeepSeek-R1)
barman,instance-11.pddl,3.028159,lama,Feedback_Loop3 (DeepSeek-R1)
barman,instance-12.pddl,3.451794,lama,Feedback_Loop2 (Claude Opus 4.6)
barman,instance-13.pddl,4.599494,lama,Arch_Aware (DeepSeek-R1)
barman,instance-14.pddl,1.56669,lama,Feedback_Loop1 (DeepSeek-R1)
barman,instance-16.pddl,3.060755,lama,Arch_Aware (DeepSeek-R1)
barman,instance-17.pddl,1.412176,lama,Feedback_Loop2 (DeepSeek-R1)
barman,instance-18.pddl,1.778003,lama,Arch_Aware (DeepSeek-R1)
barman,instance-19.pddl,3.08722,lama,Feedback_Loop2 (Claude Opus 4.6)
depots,instance-01.pddl,0.331734,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-02.pddl,0.332332,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-03.pddl,0.337427,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-04.pddl,0.35512,madagascar,Cross_Test (DeepSeek-R1)
depots,instance-07.pddl,0.349817,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-08.pddl,0.395831,madagascar,Arch_Aware (GPT-5.4)
depots,instance-09.pddl,0.554161,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-11.pddl,0.432853,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-12.pddl,0.768249,madagascar,Arch_Aware (Gemini 3.1 Pro)
depots,instance-13.pddl,0.38352,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-14.pddl,0.472423,madagascar,Cross_Test (DeepSeek-R1)
depots,instance-16.pddl,0.38624,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-17.pddl,0.531765,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-18.pddl,0.906495,madagascar,Arch_Aware (DeepSeek-R1)
depots,instance-19.pddl,0.459224,madagascar,Arch_Aware (DeepSeek-R1)
ricochet-robots,instance-01.pddl,110.747201,bfws,Arch_Aware (Gemini 3.1 Pro)
ricochet-robots,instance-02.pddl,210.168593,bfws,Feedback_Loop2 (GPT-5.4)
ricochet-robots,instance-03.pddl,7.099235,decstar,Arch_Aware (Gemini 3.1 Pro)
ricochet-robots,instance-04.pddl,288.375605,bfws,Arch_Aware (Gemini 3.1 Pro)
ricochet-robots,instance-07.pddl,64.421141,decstar,Arch_Aware (Gemini 3.1 Pro)
ricochet-robots,instance-08.pddl,30.037134,bfws,BASELINE
ricochet-robots,instance-09.pddl,16.047248,decstar,BASELINE
ricochet-robots,instance-11.pddl,318.372052,bfws,Feedback_Loop1 (Gemini 3.1 Pro)
ricochet-robots,instance-12.pddl,118.440422,bfws,General (Gemini 3.1 Pro)
ricochet-robots,instance-13.pddl,20.591944,decstar,Cross_Test (Gemini 3.1 Pro)
ricochet-robots,instance-14.pddl,337.273563,lama,General (Gemini 3.1 Pro)
ricochet-robots,instance-16.pddl,249.4375,bfws,Cross_Test (Claude Opus 4.6)
ricochet-robots,instance-17.pddl,246.076407,bfws,Cross_Test (Claude Opus 4.6)
ricochet-robots,instance-18.pddl,211.121752,bfws,Arch_Aware (DeepSeek-R1)
ricochet-robots,instance-19.pddl,UNSOLVED,N/A,N/A
snake,instance-01.pddl,3.206812,bfws,Feedback_Loop3 (GPT-5.4)
snake,instance-02.pddl,4.760418,madagascar,Feedback_Loop1 (Claude Opus 4.6)
snake,instance-03.pddl,5.924883,madagascar,Feedback_Loop3 (GPT-5.4)
snake,instance-04.pddl,68.766764,bfws,Cross_Test (Claude Opus 4.6)
snake,instance-07.pddl,13.67793,madagascar,Arch_Aware (Gemini 3.1 Pro)
snake,instance-08.pddl,112.382252,madagascar,General (Claude Opus 4.6)
snake,instance-09.pddl,41.580073,madagascar,General (Gemini 3.1 Pro)
snake,instance-11.pddl,35.914929,madagascar,Cross_Test (DeepSeek-R1)
snake,instance-12.pddl,242.022148,madagascar,General (Gemini 3.1 Pro)
snake,instance-13.pddl,UNSOLVED,N/A,N/A
snake,instance-14.pddl,UNSOLVED,N/A,N/A
snake,instance-16.pddl,123.025343,madagascar,Cross_Test (Claude Opus 4.6)
snake,instance-17.pddl,UNSOLVED,N/A,N/A
snake,instance-18.pddl,UNSOLVED,N/A,N/A
snake,instance-19.pddl,UNSOLVED,N/A,N/A
visitall,instance-01.pddl,1.35301,bfws,Feedback_Loop1 (GPT-5.4)
visitall,instance-02.pddl,1.607482,bfws,Feedback_Loop3 (GPT-5.4)
visitall,instance-03.pddl,1.633653,bfws,Feedback_Loop1 (Claude Opus 4.6)
visitall,instance-04.pddl,1.833803,bfws,Feedback_Loop3 (GPT-5.4)
visitall,instance-07.pddl,10.175253,bfws,Arch_Aware (Claude Opus 4.6)
visitall,instance-08.pddl,11.326939,bfws,Feedback_Loop3 (GPT-5.4)
visitall,instance-09.pddl,12.07922,bfws,General (GPT-5.4)
visitall,instance-11.pddl,14.952691,bfws,Feedback_Loop3 (GPT-5.4)
visitall,instance-12.pddl,16.084442,bfws,Feedback_Loop2 (Claude Opus 4.6)
visitall,instance-13.pddl,17.954093,bfws,Feedback_Loop2 (Claude Opus 4.6)
visitall,instance-14.pddl,26.178723,bfws,Feedback_Loop2 (Claude Opus 4.6)
visitall,instance-16.pddl,22.853118,bfws,Feedback_Loop1 (GPT-5.4)
visitall,instance-17.pddl,22.712145,bfws,Feedback_Loop3 (Claude Opus 4.6)
visitall,instance-18.pddl,35.843122,bfws,Feedback_Loop3 (Claude Opus 4.6)
visitall,instance-19.pddl,28.039513,bfws,Feedback_Loop3 (GPT-5.4)
