Run_ID,Domain_Name,Domain_File,Problem_Instance,Planner_Used,Stage,LLM_Used,PromptID,PlanCost,Runtime_internal_s,Runtime_wall_s,Output_Status,StatesExpanded,StatesGenerated,StatesEvaluated,PeakMemoryKB,Timestamp
1,visitall,domain.pddl,instance-01.pddl,bfws,BASELINE,N/A,N/A,919,0.335958,2.051645,SUCCESS,1118,3895,N/A,N/A,2026-04-29T11:44:37.219055+00:00
2,visitall,domain.pddl,instance-02.pddl,bfws,BASELINE,N/A,N/A,1028,0.436712,1.748068,SUCCESS,2144,5448,N/A,N/A,2026-04-29T11:44:39.015835+00:00
3,visitall,domain.pddl,instance-01.pddl,lama,BASELINE,N/A,N/A,1130,2.9137,4.71551,SUCCESS,4799,18850,4800,20004,2026-04-29T11:44:39.893040+00:00
4,visitall,domain.pddl,instance-03.pddl,bfws,BASELINE,N/A,N/A,1043,0.450737,1.944906,SUCCESS,1254,4342,N/A,N/A,2026-04-29T11:44:41.008732+00:00
5,visitall,domain.pddl,instance-04.pddl,bfws,BASELINE,N/A,N/A,1110,0.481033,1.900058,SUCCESS,1355,4688,N/A,N/A,2026-04-29T11:44:42.958698+00:00
6,visitall,domain.pddl,instance-02.pddl,lama,BASELINE,N/A,N/A,1326,3.275892,4.600311,SUCCESS,5708,22570,5709,21204,2026-04-29T11:44:44.546460+00:00
7,visitall,domain.pddl,instance-03.pddl,lama,BASELINE,N/A,N/A,1318,3.636628,5.035175,SUCCESS,6814,26686,6815,22808,2026-04-29T11:44:49.644203+00:00
8,visitall,domain.pddl,instance-07.pddl,bfws,BASELINE,N/A,N/A,2743,6.37813,11.30326,SUCCESS,3580,11966,N/A,N/A,2026-04-29T11:44:54.325326+00:00
9,visitall,domain.pddl,instance-04.pddl,lama,BASELINE,N/A,N/A,1573,4.340898,5.908766,SUCCESS,7734,30444,7735,24432,2026-04-29T11:44:55.625540+00:00
10,visitall,domain.pddl,instance-08.pddl,bfws,BASELINE,N/A,N/A,2850,6.8368,11.96876,SUCCESS,3717,12467,N/A,N/A,2026-04-29T11:45:06.352142+00:00
11,visitall,domain.pddl,instance-09.pddl,bfws,BASELINE,N/A,N/A,2959,7.16777,12.363077,SUCCESS,3949,13068,N/A,N/A,2026-04-29T11:45:18.766884+00:00
12,visitall,domain.pddl,instance-07.pddl,lama,BASELINE,N/A,N/A,3494,29.24995,32.177268,SUCCESS,20520,81445,20521,68636,2026-04-29T11:45:27.857188+00:00
13,visitall,domain.pddl,instance-11.pddl,bfws,BASELINE,N/A,N/A,3179,13.2773,19.813984,SUCCESS,4210,13952,N/A,N/A,2026-04-29T11:45:38.634833+00:00
14,visitall,domain.pddl,instance-12.pddl,bfws,BASELINE,N/A,N/A,3294,12.406,18.843515,SUCCESS,4347,14400,N/A,N/A,2026-04-29T11:45:57.535724+00:00
15,visitall,domain.pddl,instance-08.pddl,lama,BASELINE,N/A,N/A,3828,32.756766,35.630193,SUCCESS,21596,85818,21597,73448,2026-04-29T11:46:03.549443+00:00
16,visitall,domain.pddl,instance-13.pddl,bfws,BASELINE,N/A,N/A,3411,14.8595,22.239913,SUCCESS,4581,14980,N/A,N/A,2026-04-29T11:46:19.828887+00:00
17,visitall,domain.pddl,instance-09.pddl,lama,BASELINE,N/A,N/A,3769,36.303794,39.282313,SUCCESS,21568,85742,21569,75092,2026-04-29T11:46:42.886868+00:00
18,visitall,domain.pddl,instance-14.pddl,bfws,BASELINE,N/A,N/A,3632,23.8598,31.049515,SUCCESS,8139,20010,N/A,N/A,2026-04-29T11:46:50.934348+00:00
19,visitall,domain.pddl,instance-16.pddl,bfws,BASELINE,N/A,N/A,3770,16.1121,24.480186,SUCCESS,5002,16547,N/A,N/A,2026-04-29T11:47:15.466305+00:00
20,visitall,domain.pddl,instance-11.pddl,lama,BASELINE,N/A,N/A,4062,41.072404,44.235115,SUCCESS,22870,90930,22871,82800,2026-04-29T11:47:27.180113+00:00
21,visitall,domain.pddl,instance-17.pddl,bfws,BASELINE,N/A,N/A,3895,21.4938,30.371675,SUCCESS,5240,17281,N/A,N/A,2026-04-29T11:47:45.890052+00:00
22,visitall,domain.pddl,instance-12.pddl,lama,BASELINE,N/A,N/A,4449,43.678097,46.920457,SUCCESS,23085,91639,23086,85468,2026-04-29T11:48:14.158356+00:00
23,visitall,domain.pddl,instance-18.pddl,bfws,BASELINE,N/A,N/A,4132,31.937,40.944981,SUCCESS,9349,22945,N/A,N/A,2026-04-29T11:48:26.888437+00:00
24,visitall,domain.pddl,instance-19.pddl,bfws,BASELINE,N/A,N/A,4147,22.9152,32.564514,SUCCESS,5571,18216,N/A,N/A,2026-04-29T11:48:59.505283+00:00
25,snake,domain.pddl,instance-01.pddl,bfws,BASELINE,N/A,N/A,47,0.0823149,3.474936,SUCCESS,4079,4783,N/A,N/A,2026-04-29T11:49:03.034102+00:00
26,visitall,domain.pddl,instance-13.pddl,lama,BASELINE,N/A,N/A,4304,47.053967,50.407184,SUCCESS,23596,93804,23597,89572,2026-04-29T11:49:04.621028+00:00
27,snake,domain.pddl,instance-02.pddl,bfws,BASELINE,N/A,N/A,86,33.0188,36.85394,SUCCESS,1840,3952,N/A,N/A,2026-04-29T11:49:39.942551+00:00
28,visitall,domain.pddl,instance-14.pddl,lama,BASELINE,N/A,N/A,4421,51.314958,54.940043,SUCCESS,22767,90519,22768,89764,2026-04-29T11:49:59.614282+00:00
29,snake,domain.pddl,instance-03.pddl,bfws,BASELINE,N/A,N/A,89,46.9064,50.730996,SUCCESS,2124,4326,N/A,N/A,2026-04-29T11:50:30.726352+00:00
30,visitall,domain.pddl,instance-01.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,810220,2026-04-29T11:50:35.734183+00:00
31,visitall,domain.pddl,instance-01.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T11:50:35.900416+00:00
32,visitall,domain.pddl,instance-16.pddl,lama,BASELINE,N/A,N/A,4809,67.817568,71.583127,SUCCESS,27160,107816,27161,106544,2026-04-29T11:51:11.256010+00:00
33,snake,domain.pddl,instance-04.pddl,bfws,BASELINE,N/A,N/A,133,80.3242,85.266864,SUCCESS,3302,6127,N/A,N/A,2026-04-29T11:51:56.049700+00:00
34,visitall,domain.pddl,instance-17.pddl,lama,BASELINE,N/A,N/A,5039,78.30377,82.916521,SUCCESS,31188,124065,31189,121460,2026-04-29T11:52:34.240180+00:00
35,visitall,domain.pddl,instance-18.pddl,lama,BASELINE,N/A,N/A,5057,79.723966,84.270774,SUCCESS,28272,112393,28273,116152,2026-04-29T11:53:58.577750+00:00
36,snake,domain.pddl,instance-07.pddl,bfws,BASELINE,N/A,N/A,91,157.184,164.317281,SUCCESS,2806,6347,N/A,N/A,2026-04-29T11:54:40.426915+00:00
37,visitall,domain.pddl,instance-19.pddl,lama,BASELINE,N/A,N/A,5351,92.505428,97.554661,SUCCESS,32201,127886,32202,131584,2026-04-29T11:55:36.196636+00:00
38,snake,domain.pddl,instance-01.pddl,lama,BASELINE,N/A,N/A,51,1.635865,7.144595,SUCCESS,878,2141,891,30952,2026-04-29T11:55:43.392806+00:00
39,visitall,domain.pddl,instance-02.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,689912,2026-04-29T11:56:35.848526+00:00
40,visitall,domain.pddl,instance-02.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T11:56:36.535538+00:00
41,snake,domain.pddl,instance-08.pddl,bfws,BASELINE,N/A,N/A,177,210.711,219.608782,SUCCESS,3856,8009,N/A,N/A,2026-04-29T11:58:20.092976+00:00
42,snake,domain.pddl,instance-02.pddl,lama,BASELINE,N/A,N/A,138,161.512015,167.373928,SUCCESS,202875,423907,207458,52936,2026-04-29T11:58:30.818685+00:00
43,visitall,domain.pddl,instance-03.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,756956,2026-04-29T12:02:35.666193+00:00
44,visitall,domain.pddl,instance-03.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:02:37.089182+00:00
45,snake,domain.pddl,instance-09.pddl,bfws,BASELINE,N/A,N/A,157,266.02,273.465038,SUCCESS,4845,9818,N/A,N/A,2026-04-29T12:02:53.610564+00:00
46,snake,domain.pddl,instance-03.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,90148,2026-04-29T12:04:31.168095+00:00
47,snake,domain.pddl,instance-11.pddl,bfws,BASELINE,N/A,N/A,118,318.016,329.653987,SUCCESS,3283,7785,N/A,N/A,2026-04-29T12:08:23.316097+00:00
48,visitall,domain.pddl,instance-04.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,750948,2026-04-29T12:08:35.499517+00:00
49,visitall,domain.pddl,instance-04.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:08:37.604313+00:00
50,snake,domain.pddl,instance-04.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,80212,2026-04-29T12:10:31.162225+00:00
51,snake,domain.pddl,instance-12.pddl,bfws,BASELINE,N/A,N/A,N/A,0.202934,360.0,TIMEOUT,8709,9583,N/A,N/A,2026-04-29T12:14:23.830316+00:00
52,visitall,domain.pddl,instance-07.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,486932,2026-04-29T12:14:34.693075+00:00
53,visitall,domain.pddl,instance-07.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:14:38.090654+00:00
54,snake,domain.pddl,instance-07.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,75184,2026-04-29T12:16:30.987088+00:00
55,snake,domain.pddl,instance-13.pddl,bfws,BASELINE,N/A,N/A,N/A,0.216174,360.0,TIMEOUT,8187,9207,N/A,N/A,2026-04-29T12:20:24.327979+00:00
56,visitall,domain.pddl,instance-08.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,471616,2026-04-29T12:20:33.777861+00:00
57,visitall,domain.pddl,instance-08.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:20:38.612171+00:00
58,snake,domain.pddl,instance-08.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,69228,2026-04-29T12:22:31.211590+00:00
59,snake,domain.pddl,instance-14.pddl,bfws,BASELINE,N/A,N/A,N/A,0.274702,360.0,TIMEOUT,10867,11961,N/A,N/A,2026-04-29T12:26:24.807291+00:00
60,visitall,domain.pddl,instance-09.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,442456,2026-04-29T12:26:32.805098+00:00
61,visitall,domain.pddl,instance-09.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:26:39.123277+00:00
62,snake,domain.pddl,instance-09.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,69468,2026-04-29T12:28:31.341403+00:00
63,snake,domain.pddl,instance-16.pddl,bfws,BASELINE,N/A,N/A,N/A,0.551569,360.0,TIMEOUT,15458,17539,N/A,N/A,2026-04-29T12:32:25.287449+00:00
64,visitall,domain.pddl,instance-11.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,407456,2026-04-29T12:32:31.938614+00:00
65,visitall,domain.pddl,instance-11.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:32:39.585160+00:00
66,snake,domain.pddl,instance-11.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,79736,2026-04-29T12:34:32.010728+00:00
67,snake,domain.pddl,instance-17.pddl,bfws,BASELINE,N/A,N/A,N/A,0.435413,360.0,TIMEOUT,10722,11956,N/A,N/A,2026-04-29T12:38:25.793546+00:00
68,visitall,domain.pddl,instance-12.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,384428,2026-04-29T12:38:31.218321+00:00
69,visitall,domain.pddl,instance-12.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:38:40.058507+00:00
70,snake,domain.pddl,instance-12.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,95072,2026-04-29T12:40:32.067910+00:00
71,snake,domain.pddl,instance-18.pddl,bfws,BASELINE,N/A,N/A,N/A,0.670758,360.0,TIMEOUT,14638,16593,N/A,N/A,2026-04-29T12:44:26.310896+00:00
72,visitall,domain.pddl,instance-13.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,373024,2026-04-29T12:44:30.778328+00:00
73,visitall,domain.pddl,instance-13.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:44:40.552807+00:00
74,snake,domain.pddl,instance-13.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,95576,2026-04-29T12:46:31.881611+00:00
75,snake,domain.pddl,instance-19.pddl,bfws,BASELINE,N/A,N/A,N/A,0.784792,360.0,TIMEOUT,16387,18689,N/A,N/A,2026-04-29T12:50:26.840337+00:00
76,visitall,domain.pddl,instance-14.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,364680,2026-04-29T12:50:30.079363+00:00
77,visitall,domain.pddl,instance-14.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:50:41.028972+00:00
78,snake,domain.pddl,instance-14.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,99480,2026-04-29T12:52:32.338066+00:00
79,ricochet-robots,domain.pddl,instance-01.pddl,bfws,BASELINE,N/A,N/A,224,134.692,137.465686,SUCCESS,72344,162806,N/A,N/A,2026-04-29T12:52:44.359120+00:00
80,ricochet-robots,domain.pddl,instance-02.pddl,bfws,BASELINE,N/A,N/A,252,211.244,214.030221,SUCCESS,117737,265958,N/A,N/A,2026-04-29T12:56:18.443552+00:00
81,ricochet-robots,domain.pddl,instance-03.pddl,bfws,BASELINE,N/A,N/A,182,8.64079,11.050274,SUCCESS,4543,11240,N/A,N/A,2026-04-29T12:56:29.552211+00:00
82,visitall,domain.pddl,instance-16.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,340052,2026-04-29T12:56:29.593818+00:00
83,visitall,domain.pddl,instance-16.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T12:56:41.513135+00:00
84,snake,domain.pddl,instance-16.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,122200,2026-04-29T12:58:32.548111+00:00
85,ricochet-robots,domain.pddl,instance-04.pddl,bfws,BASELINE,N/A,N/A,394,335.696,339.068934,SUCCESS,188687,410986,N/A,N/A,2026-04-29T13:02:08.675980+00:00
86,visitall,domain.pddl,instance-17.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,336336,2026-04-29T13:02:29.185377+00:00
87,visitall,domain.pddl,instance-17.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T13:02:41.994667+00:00
88,snake,domain.pddl,instance-17.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,125772,2026-04-29T13:04:32.355424+00:00
89,ricochet-robots,domain.pddl,instance-07.pddl,bfws,BASELINE,N/A,N/A,430,150.777,153.474879,SUCCESS,81837,189683,N/A,N/A,2026-04-29T13:04:42.205844+00:00
90,ricochet-robots,domain.pddl,instance-08.pddl,bfws,BASELINE,N/A,N/A,254,27.7353,30.037134,SUCCESS,16803,43516,N/A,N/A,2026-04-29T13:05:12.296721+00:00
91,ricochet-robots,domain.pddl,instance-09.pddl,bfws,BASELINE,N/A,N/A,192,31.9334,34.359303,SUCCESS,15681,43940,N/A,N/A,2026-04-29T13:05:46.710348+00:00
92,visitall,domain.pddl,instance-18.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,331948,2026-04-29T13:08:28.694474+00:00
93,visitall,domain.pddl,instance-18.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T13:08:42.489224+00:00
94,snake,domain.pddl,instance-18.pddl,lama,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,130456,2026-04-29T13:10:32.173620+00:00
95,ricochet-robots,domain.pddl,instance-11.pddl,bfws,BASELINE,N/A,N/A,446,343.964,347.180981,SUCCESS,184474,399835,N/A,N/A,2026-04-29T13:11:33.950726+00:00
96,ricochet-robots,domain.pddl,instance-12.pddl,bfws,BASELINE,N/A,N/A,405,136.315,138.932807,SUCCESS,71885,172029,N/A,N/A,2026-04-29T13:13:52.936851+00:00
97,visitall,domain.pddl,instance-19.pddl,decstar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,326796,2026-04-29T13:14:28.237110+00:00
98,snake,domain.pddl,instance-01.pddl,decstar,BASELINE,N/A,N/A,65,1.18574,4.948864,SUCCESS,634,1504,641,77136,2026-04-29T13:14:33.243082+00:00
99,visitall,domain.pddl,instance-19.pddl,madagascar,BASELINE,N/A,N/A,N/A,N/A,360.0,TIMEOUT,N/A,N/A,N/A,N/A,2026-04-29T13:14:42.989930+00:00
100,snake,domain.pddl,instance-01.pddl,madagascar,BASELINE,N/A,N/A,55,4.48,5.143312,SUCCESS,N/A,N/A,N/A,N/A,2026-04-29T13:14:48.191749+00:00
