ID,Domain,LLM,Target_Planner,Best_Iteration,Total_Iterations_Run,Termination_Reason,Best_IPC_Score,Seed_IPC_Score,Improvement_vs_Seed,Validation_Failures_Total,V4_Semantic_Failures,Was_Stage2_Failure,Stage3_Domain_Path
1,barman,gpt-5.4-2026-03-05,lama,0,3,MAX_ITER,14.990105106127203,14.990105106127203,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/lama/barman/barman_gpt-5.4_Feedback_lama.pddl
2,barman,claude-opus-4-6,lama,0,3,MAX_ITER,14.986527466911646,14.986527466911646,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/lama/barman/barman_claude-opus-4.6_Feedback_lama.pddl
3,barman,deepseek-reasoner,lama,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama.pddl
4,barman,gemini-3.1-pro-preview-customtools,lama,3,3,MAX_ITER,14.999136036653711,0.0,14.999136036653711,0,0,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama.pddl
5,barman,deepseek-reasoner,decstar,0,3,MAX_ITER,3.9965015179614274,3.9965015179614274,0.0,1,1,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/barman/barman_deepseek-r1_Feedback_decstar.pddl
6,barman,gemini-3.1-pro-preview-customtools,decstar,1,3,MAX_ITER,3.9170345058892844,0.0,3.9170345058892844,1,0,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/decstar/barman/barman_gemini-3.1-pro_Feedback_decstar.pddl
7,barman,deepseek-reasoner,bfws,1,3,MAX_ITER,15.0,14.99842262716177,0.0015773728382306729,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/barman/barman_deepseek-r1_Feedback_bfws.pddl
8,barman,gemini-3.1-pro-preview-customtools,bfws,2,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/bfws/barman/barman_gemini-3.1-pro_Feedback_bfws.pddl
9,barman,gpt-5.4-2026-03-05,decstar,0,3,MAX_ITER,3.9994309053462467,3.9994309053462467,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/decstar/barman/barman_gpt-5.4_Feedback_decstar.pddl
10,barman,claude-opus-4-6,decstar,0,3,MAX_ITER,3.9980962548009518,3.9980962548009518,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/decstar/barman/barman_claude-opus-4.6_Feedback_decstar.pddl
11,barman,gpt-5.4-2026-03-05,bfws,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/bfws/barman/barman_gpt-5.4_Feedback_bfws.pddl
12,barman,claude-opus-4-6,bfws,1,3,MAX_ITER,14.98748665582504,14.951071758231146,0.03641489759389316,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/bfws/barman/barman_claude-opus-4.6_Feedback_bfws.pddl
13,barman,deepseek-reasoner,madagascar,2,3,MAX_ITER,5.045542091908721,3.851499854117275,1.1940422377914457,1,1,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/madagascar/barman/barman_deepseek-r1_Feedback_madagascar.pddl
14,depots,deepseek-reasoner,lama,0,3,MAX_ITER,15.0,15.0,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/depots/depots_deepseek-r1_Feedback_lama.pddl
15,depots,deepseek-reasoner,decstar,0,3,MAX_ITER,14.0,14.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/depots/depots_deepseek-r1_Feedback_decstar.pddl
16,depots,deepseek-reasoner,bfws,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/depots/depots_deepseek-r1_Feedback_bfws.pddl
17,depots,deepseek-reasoner,madagascar,0,3,MAX_ITER,14.905604073263298,14.905604073263298,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/madagascar/depots/depots_deepseek-r1_Feedback_madagascar.pddl
18,barman,gemini-3.1-pro-preview-customtools,madagascar,1,3,MAX_ITER,5.642108492393588,4.080651343817161,1.5614571485764266,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/madagascar/barman/barman_gemini-3.1-pro_Feedback_madagascar.pddl
19,depots,gemini-3.1-pro-preview-customtools,lama,1,3,MAX_ITER,14.97393250648845,14.947632030784751,0.026300475703699533,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/lama/depots/depots_gemini-3.1-pro_Feedback_lama.pddl
20,depots,gemini-3.1-pro-preview-customtools,decstar,1,3,MAX_ITER,13.703749817755904,0.0,13.703749817755904,0,0,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/decstar/depots/depots_gemini-3.1-pro_Feedback_decstar.pddl
21,depots,gemini-3.1-pro-preview-customtools,bfws,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/bfws/depots/depots_gemini-3.1-pro_Feedback_bfws.pddl
22,depots,gemini-3.1-pro-preview-customtools,madagascar,0,3,MAX_ITER,15.0,15.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/madagascar/depots/depots_gemini-3.1-pro_Feedback_madagascar.pddl
23,barman,gpt-5.4-2026-03-05,madagascar,3,3,MAX_ITER,5.1372109730511,2.9854393528280116,2.151771620223088,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/madagascar/barman/barman_gpt-5.4_Feedback_madagascar.pddl
24,depots,gpt-5.4-2026-03-05,lama,0,3,MAX_ITER,14.992180577450451,14.992180577450451,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/lama/depots/depots_gpt-5.4_Feedback_lama.pddl
25,depots,gpt-5.4-2026-03-05,decstar,0,3,MAX_ITER,13.994833663297523,13.994833663297523,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/decstar/depots/depots_gpt-5.4_Feedback_decstar.pddl
26,depots,gpt-5.4-2026-03-05,bfws,3,3,MAX_ITER,14.58222157661912,0.0,14.58222157661912,1,1,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/bfws/depots/depots_gpt-5.4_Feedback_bfws.pddl
27,depots,gpt-5.4-2026-03-05,madagascar,0,3,MAX_ITER,14.996167284918961,14.996167284918961,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/madagascar/depots/depots_gpt-5.4_Feedback_madagascar.pddl
28,barman,claude-opus-4-6,madagascar,3,3,MAX_ITER,3.2905569624184,3.0,0.2905569624184001,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/madagascar/barman/barman_claude-opus-4.6_Feedback_madagascar.pddl
29,depots,claude-opus-4-6,lama,1,3,MAX_ITER,14.999537222328868,14.991838625580725,0.007698596748143771,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/lama/depots/depots_claude-opus-4.6_Feedback_lama.pddl
30,ricochet-robots,deepseek-reasoner,lama,2,3,MAX_ITER,6.9962192366295,6.0,0.9962192366295,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/ricochet-robots/ricochet-robots_deepseek-r1_Feedback_lama.pddl
31,depots,claude-opus-4-6,decstar,0,3,MAX_ITER,13.987126540622794,13.987126540622794,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/decstar/depots/depots_claude-opus-4.6_Feedback_decstar.pddl
32,depots,claude-opus-4-6,bfws,1,3,MAX_ITER,14.59392714268234,14.593168638752173,0.0007585039301662988,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/bfws/depots/depots_claude-opus-4.6_Feedback_bfws.pddl
33,depots,claude-opus-4-6,madagascar,0,3,MAX_ITER,14.943319603852357,14.943319603852357,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/madagascar/depots/depots_claude-opus-4.6_Feedback_madagascar.pddl
34,ricochet-robots,deepseek-reasoner,decstar,0,3,MAX_ITER,4.987434597282192,4.987434597282192,0.0,2,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/ricochet-robots/ricochet-robots_deepseek-r1_Feedback_decstar.pddl
35,ricochet-robots,deepseek-reasoner,bfws,0,3,MAX_ITER,10.68112003954762,10.68112003954762,0.0,3,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/ricochet-robots/ricochet-robots_deepseek-r1_Feedback_bfws.pddl
36,ricochet-robots,gemini-3.1-pro-preview-customtools,lama,1,3,MAX_ITER,7.0,5.999079590097098,1.0009204099029017,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/lama/ricochet-robots/ricochet-robots_gemini-3.1-pro_Feedback_lama.pddl
37,ricochet-robots,deepseek-reasoner,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/madagascar/ricochet-robots/ricochet-robots_deepseek-r1_Feedback_madagascar.pddl
38,ricochet-robots,gpt-5.4-2026-03-05,lama,2,3,MAX_ITER,7.0,0.0,7.0,0,0,True,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/lama/ricochet-robots/ricochet-robots_gpt-5.4_Feedback_lama.pddl
39,ricochet-robots,gemini-3.1-pro-preview-customtools,decstar,0,3,MAX_ITER,4.994949252782842,4.994949252782842,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/decstar/ricochet-robots/ricochet-robots_gemini-3.1-pro_Feedback_decstar.pddl
40,ricochet-robots,claude-opus-4-6,lama,1,3,MAX_ITER,7.0,5.996857487582377,1.0031425124176234,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/lama/ricochet-robots/ricochet-robots_claude-opus-4.6_Feedback_lama.pddl
41,snake,deepseek-reasoner,lama,1,3,MAX_ITER,2.0,2.0,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/snake/snake_deepseek-r1_Feedback_lama.pddl
42,ricochet-robots,gemini-3.1-pro-preview-customtools,bfws,1,3,MAX_ITER,12.916454042822911,10.972958206244911,1.9434958365780002,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/bfws/ricochet-robots/ricochet-robots_gemini-3.1-pro_Feedback_bfws.pddl
43,ricochet-robots,gpt-5.4-2026-03-05,decstar,0,3,MAX_ITER,4.851852017903301,4.851852017903301,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/decstar/ricochet-robots/ricochet-robots_gpt-5.4_Feedback_decstar.pddl
44,ricochet-robots,claude-opus-4-6,decstar,0,3,MAX_ITER,4.995533036747442,4.995533036747442,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/decstar/ricochet-robots/ricochet-robots_claude-opus-4.6_Feedback_decstar.pddl
45,ricochet-robots,gemini-3.1-pro-preview-customtools,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/madagascar/ricochet-robots/ricochet-robots_gemini-3.1-pro_Feedback_madagascar.pddl
46,snake,deepseek-reasoner,decstar,0,3,MAX_ITER,3.0,3.0,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/snake/snake_deepseek-r1_Feedback_decstar.pddl
47,ricochet-robots,gpt-5.4-2026-03-05,bfws,3,3,MAX_ITER,12.757511397494206,8.684824833169253,4.072686564324952,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/bfws/ricochet-robots/ricochet-robots_gpt-5.4_Feedback_bfws.pddl
48,ricochet-robots,claude-opus-4-6,bfws,0,3,MAX_ITER,10.498557550602321,10.498557550602321,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/bfws/ricochet-robots/ricochet-robots_claude-opus-4.6_Feedback_bfws.pddl
49,snake,deepseek-reasoner,bfws,1,3,MAX_ITER,7.719026843579568,6.653567562065514,1.0654592815140544,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/snake/snake_deepseek-r1_Feedback_bfws.pddl
50,ricochet-robots,gpt-5.4-2026-03-05,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/madagascar/ricochet-robots/ricochet-robots_gpt-5.4_Feedback_madagascar.pddl
51,ricochet-robots,claude-opus-4-6,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/madagascar/ricochet-robots/ricochet-robots_claude-opus-4.6_Feedback_madagascar.pddl
52,snake,gemini-3.1-pro-preview-customtools,lama,0,3,MAX_ITER,2.0,2.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/lama/snake/snake_gemini-3.1-pro_Feedback_lama.pddl
53,snake,deepseek-reasoner,madagascar,1,3,MAX_ITER,4.871974794560921,4.522201734351547,0.34977306020937426,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/madagascar/snake/snake_deepseek-r1_Feedback_madagascar.pddl
54,visitall,deepseek-reasoner,lama,0,3,MAX_ITER,14.927545578003613,14.927545578003613,0.0,2,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/lama/visitall/visitall_deepseek-r1_Feedback_lama.pddl
55,visitall,deepseek-reasoner,decstar,0,2,ALL_TIMEOUT,0.0,0.0,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/decstar/visitall/visitall_deepseek-r1_Feedback_decstar.pddl
56,snake,gpt-5.4-2026-03-05,lama,0,3,MAX_ITER,2.0,2.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/lama/snake/snake_gpt-5.4_Feedback_lama.pddl
57,visitall,deepseek-reasoner,bfws,0,3,MAX_ITER,13.662462917580676,13.662462917580676,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/bfws/visitall/visitall_deepseek-r1_Feedback_bfws.pddl
58,snake,claude-opus-4-6,lama,0,3,MAX_ITER,2.0,2.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/lama/snake/snake_claude-opus-4.6_Feedback_lama.pddl
59,snake,gemini-3.1-pro-preview-customtools,decstar,0,3,MAX_ITER,3.0,3.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/decstar/snake/snake_gemini-3.1-pro_Feedback_decstar.pddl
60,visitall,deepseek-reasoner,madagascar,0,2,ALL_TIMEOUT,0.0,0.0,0.0,1,1,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/deepseek-r1/madagascar/visitall/visitall_deepseek-r1_Feedback_madagascar.pddl
61,snake,gemini-3.1-pro-preview-customtools,bfws,0,3,MAX_ITER,6.679003850390329,6.679003850390329,0.0,1,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/bfws/snake/snake_gemini-3.1-pro_Feedback_bfws.pddl
62,snake,gpt-5.4-2026-03-05,decstar,3,3,MAX_ITER,3.0,2.9896717361198366,0.01032826388016339,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/decstar/snake/snake_gpt-5.4_Feedback_decstar.pddl
63,snake,claude-opus-4-6,decstar,2,3,MAX_ITER,3.0,3.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/decstar/snake/snake_claude-opus-4.6_Feedback_decstar.pddl
64,snake,gemini-3.1-pro-preview-customtools,madagascar,0,3,MAX_ITER,6.0,6.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/madagascar/snake/snake_gemini-3.1-pro_Feedback_madagascar.pddl
65,visitall,gemini-3.1-pro-preview-customtools,lama,1,3,MAX_ITER,14.972757635538676,14.930790172004786,0.041967463533890026,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/lama/visitall/visitall_gemini-3.1-pro_Feedback_lama.pddl
66,snake,gpt-5.4-2026-03-05,bfws,0,3,MAX_ITER,7.948057271328388,7.948057271328388,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/bfws/snake/snake_gpt-5.4_Feedback_bfws.pddl
67,snake,claude-opus-4-6,bfws,1,3,MAX_ITER,7.844852544296927,7.633542895106036,0.21130964919089124,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/bfws/snake/snake_claude-opus-4.6_Feedback_bfws.pddl
68,visitall,gemini-3.1-pro-preview-customtools,decstar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/decstar/visitall/visitall_gemini-3.1-pro_Feedback_decstar.pddl
69,visitall,gemini-3.1-pro-preview-customtools,bfws,1,3,MAX_ITER,14.240777658035512,14.038930371456342,0.20184728657917006,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/bfws/visitall/visitall_gemini-3.1-pro_Feedback_bfws.pddl
70,visitall,gemini-3.1-pro-preview-customtools,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gemini-3.1-pro/madagascar/visitall/visitall_gemini-3.1-pro_Feedback_madagascar.pddl
71,snake,gpt-5.4-2026-03-05,madagascar,1,3,MAX_ITER,4.985387076065344,4.880242789881783,0.10514428618356053,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/madagascar/snake/snake_gpt-5.4_Feedback_madagascar.pddl
72,snake,claude-opus-4-6,madagascar,0,3,MAX_ITER,6.558227702323789,6.558227702323789,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/madagascar/snake/snake_claude-opus-4.6_Feedback_madagascar.pddl
73,visitall,gpt-5.4-2026-03-05,lama,3,3,MAX_ITER,15.0,14.999147695620861,0.0008523043791388574,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/lama/visitall/visitall_gpt-5.4_Feedback_lama.pddl
74,visitall,claude-opus-4-6,lama,3,3,MAX_ITER,15.0,14.89691340676129,0.10308659323871083,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/lama/visitall/visitall_claude-opus-4.6_Feedback_lama.pddl
75,visitall,gpt-5.4-2026-03-05,decstar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/decstar/visitall/visitall_gpt-5.4_Feedback_decstar.pddl
76,visitall,gpt-5.4-2026-03-05,bfws,3,3,MAX_ITER,15.0,14.776910132874571,0.2230898671254291,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/bfws/visitall/visitall_gpt-5.4_Feedback_bfws.pddl
77,visitall,claude-opus-4-6,decstar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/decstar/visitall/visitall_claude-opus-4.6_Feedback_decstar.pddl
78,visitall,claude-opus-4-6,bfws,0,3,MAX_ITER,14.986252127442693,14.986252127442693,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/bfws/visitall/visitall_claude-opus-4.6_Feedback_bfws.pddl
79,visitall,gpt-5.4-2026-03-05,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/gpt-5.4/madagascar/visitall/visitall_gpt-5.4_Feedback_madagascar.pddl
80,visitall,claude-opus-4-6,madagascar,0,1,ALL_TIMEOUT,0.0,0.0,0.0,0,0,False,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Best Stage 3 Domains/claude-opus-4.6/madagascar/visitall/visitall_claude-opus-4.6_Feedback_madagascar.pddl
